#name, total delta-v[m/s], time of flight[days], Hohmann burn1 [m/s], Hohmann burn2 [m/s]
2010 FN, 178.39, 181.2, 100.74, 77.65
2018 UC, 189.48, 181.6, 132.27, 57.20
2016 JA, 218.83, 184.6, 111.16, 107.67
2020 SO, 224.53, 180.8, 123.50, 101.03
2019 YB4, 308.83, 182.1, 280.12, 28.71
2019 AU6, 342.60, 180.4, 218.93, 123.67
2000 SG344, 351.41, 179.5, 180.04, 171.37
2010 JK1, 446.56, 186.7, 232.52, 214.03
2016 WQ3, 466.28, 184.8, 348.10, 118.17
2013 BS45, 468.61, 181.5, 406.01, 62.60
2015 XF261, 490.89, 181.3, 418.18, 72.71
2001 XX4, 492.14, 183.5, 444.06, 48.07
2012 VS76, 492.14, 181.4, 423.79, 68.35
2019 JH7, 509.94, 181.4, 443.90, 66.04
2008 UA202, 517.11, 187.2, 277.64, 239.47
2019 OV3, 529.29, 180.2, 394.59, 134.70
2014 WE6, 532.06, 178.4, 294.17, 237.88
2011 OJ45, 535.35, 185.0, 410.02, 125.33
2020 CD3, 538.68, 185.7, 373.04, 165.64
2011 DS, 546.15, 187.4, 293.28, 252.87
2007 CS5, 564.65, 180.0, 416.48, 148.17
2020 FN3, 574.26, 184.4, 476.87, 97.39
2015 KE, 579.37, 179.0, 378.01, 201.36
2014 WX202, 594.72, 187.5, 337.39, 257.33
2014 HJ197, 617.34, 185.6, 459.35, 157.99
2006 RH120, 633.35, 187.2, 393.51, 239.84
2008 JL24, 675.81, 187.9, 400.24, 275.56
2009 TP, 677.39, 186.7, 463.91, 213.48
2011 AX22, 692.85, 178.1, 436.40, 256.45
2019 GF1, 705.03, 181.5, 644.86, 60.17
2009 BW2, 709.00, 185.6, 553.47, 155.52
2018 RH3, 711.58, 177.0, 390.73, 320.86
2018 PK21, 713.76, 181.0, 626.14, 87.62
2016 CD31, 716.95, 188.7, 398.89, 318.06
2020 OO1, 734.10, 188.7, 420.50, 313.59
2011 UD21, 736.41, 179.7, 573.60, 162.81
2020 SK4, 751.42, 188.2, 462.25, 289.17
2014 DH, 754.49, 180.8, 652.41, 102.08
2020 UC4, 755.50, 177.1, 441.07, 314.43
2011 CF66, 757.73, 186.3, 564.16, 193.57
2020 PJ6, 764.03, 177.9, 496.74, 267.28
2020 RG6, 767.08, 179.7, 602.66, 164.42
2008 NP3, 781.76, 183.3, 744.48, 37.28
2015 BE92, 781.90, 179.0, 577.30, 204.60
2007 UN12, 783.05, 190.0, 403.64, 379.40
2011 UU190, 783.33, 190.1, 397.27, 386.06
2008 EA9, 784.75, 189.5, 427.49, 357.27
2018 PU23, 791.02, 177.7, 510.37, 280.65
2010 JR34, 798.66, 177.1, 484.75, 313.91
2011 BQ50, 811.61, 175.9, 424.72, 386.89
2012 VZ19, 816.07, 180.0, 673.07, 143.01
2019 VL5, 818.31, 182.8, 806.81, 11.50
2019 DH1, 820.06, 188.2, 528.47, 291.59
2019 UB4, 821.02, 187.8, 552.18, 268.84
2006 JY26, 828.71, 184.0, 752.63, 76.08
2020 PC, 829.31, 176.2, 463.77, 365.54
2014 QN266, 832.00, 189.9, 457.42, 374.57
2007 VU6, 840.94, 179.4, 659.89, 181.05
2019 UU1, 842.17, 186.6, 630.20, 211.97
2020 QN4, 850.03, 190.5, 444.52, 405.51
2009 HE60, 856.97, 182.0, 825.38, 31.59
2018 DC, 860.19, 186.7, 646.71, 213.48
2004 QA22, 862.73, 175.9, 480.75, 381.98
2008 WG96, 869.28, 189.5, 513.90, 355.38
2015 PS228, 870.31, 190.5, 468.06, 402.25
2018 KP1, 871.33, 185.2, 735.09, 136.24
2015 YA, 873.22, 182.0, 840.44, 32.78
2019 UJ3, 877.36, 187.7, 609.88, 267.49
(54509) YORP, 877.41, 183.4, 833.23, 44.18
2014 WU200, 895.02, 186.5, 691.63, 203.38
2019 PO1, 898.72, 187.6, 640.30, 258.42
2010 UJ, 900.85, 175.1, 467.41, 433.45
2020 BW13, 902.07, 175.3, 482.59, 419.48
2020 HN, 906.05, 190.4, 507.45, 398.60
2010 UE51, 906.43, 190.2, 514.30, 392.12
2020 CK1, 920.44, 190.6, 511.35, 409.09
2012 BK14, 922.04, 180.7, 816.66, 105.38
2006 BZ147, 925.65, 185.8, 754.92, 170.74
2020 TE2, 926.43, 180.8, 828.48, 97.95
2012 XB112, 930.86, 186.6, 721.17, 209.69
2017 KP27, 934.76, 178.2, 686.57, 248.19
2019 SS2, 936.14, 184.0, 860.91, 75.23
2017 BU, 937.83, 185.3, 794.32, 143.52
2012 BD14, 942.40, 185.1, 809.96, 132.45
2012 XO134, 944.19, 179.3, 757.23, 186.96
2019 TK5, 951.79, 185.5, 799.05, 152.74
2017 TB, 954.78, 188.3, 658.69, 296.09
2010 VQ98, 956.21, 185.8, 787.53, 168.69
2017 FB3, 962.42, 189.1, 626.65, 335.77
2019 DJ1, 963.13, 184.1, 881.35, 81.78
2017 UQ6, 969.75, 175.0, 529.81, 439.94
2015 VC2, 971.42, 189.9, 593.73, 377.70
2019 VV, 979.17, 174.3, 499.69, 479.48
2016 VO1, 979.27, 180.2, 844.54, 134.73
2020 UO4, 986.80, 178.9, 778.53, 208.27
2020 QV1, 987.22, 188.5, 679.14, 308.08
2001 GP2, 991.25, 187.8, 722.03, 269.22
2012 TF79, 992.03, 189.5, 636.82, 355.21
2017 FZ2, 1002.69, 183.7, 944.77, 57.92
2012 EP10, 1009.72, 189.6, 651.02, 358.70
